baseCharge,111000370,乳幼児加算（初診）,"And(初診,乳幼児6)"
baseCharge,111000570,時間外加算（初診）,"And(初診,時間外)"
baseCharge,111000670,休日加算（初診）,"And(初診,休日)"
baseCharge,111000770,深夜加算（初診）,"And(初診,深夜)"
baseCharge,111000870,時間外特例医療機関加算（初診）,"And(初診,時間外,時間外特例医療機関加算_体制)"
baseCharge,111011570,乳幼児夜間加算（小児科初診）,"And(初診,乳幼児6,夜間,Or(小児科,小児外科))"
baseCharge,111011670,乳幼児休日加算（小児科初診）,"And(初診,乳幼児6,休日,Or(小児科,小児外科))"
baseCharge,111011770,乳幼児深夜加算（小児科初診）,"And(初診,乳幼児6,深夜,Or(小児科,小児外科))"
baseCharge,111011970,乳幼児時間外加算（初診）,"And(初診,乳幼児6,時間外)"
baseCharge,111012070,乳幼児休日加算（初診）,"And(初診,乳幼児6,休日)"
baseCharge,111012170,乳幼児深夜加算（初診）,"And(初診,乳幼児6,深夜)"
baseCharge,111012270,乳幼児時間外特例医療機関加算（初診）,"And(初診,乳幼児6,時間外,乳幼児時間外特例医療機関加算_体制)"
baseCharge,111012470,夜間・早朝等加算（初診）,"And(初診,夜早,夜間早朝等加算_体制)"
baseCharge,111013770,機能強化加算（初診）,"And(初診,機能強化加算_届出)"
baseCharge,111014870,外来感染対策向上加算（初診）,"And(初診,外来感染対策向上加算_届出)"
baseCharge,111014970,連携強化加算（初診）,"And(初診,連携強化加算_届出)"
baseCharge,111015070,サーベイランス強化加算（初診）,"And(初診,サーベイランス強化加算_届出)"
baseCharge,111702970,発熱患者等対応加算（初診）,"And(初診,発熱患者等対応加算_届出)"
baseCharge,111703070,抗菌薬適正使用体制加算（初診）,"And(初診,抗菌薬適正使用体制加算_届出)"
baseCharge,111703270,医療情報取得加算（初診）,"And(初診,医療情報取得加算_体制)"
baseCharge,111703370,医療ＤＸ推進体制整備加算３（初診）,"And(初診,医療DX推進体制整備加算3_届出)"
baseCharge,111703470,医療ＤＸ推進体制整備加算１（初診）,"And(初診,医療DX推進体制整備加算1_届出)"
baseCharge,111703570,医療ＤＸ推進体制整備加算２（初診）,"And(初診,医療DX推進体制整備加算2_届出)"
