treatment,140000190,時間外加算２（イに該当を除く）（処置）,"And(時間外2,Not(処置イ))"
treatment,140000290,休日加算２（イに該当を除く）（処置）,"And(休日2,Not(処置イ))"
treatment,140000390,深夜加算２（イに該当を除く）（処置）,"And(深夜2,Not(処置イ))"
treatment,140049170,３歳未満乳幼児加算（処置）（１１０）,"And(乳幼児3_110)"
treatment,140049470,３歳未満乳幼児加算（処置）（５５）,"And(乳幼児3_55)"
treatment,140031870,６歳未満乳幼児加算（処置）（１１０）,"And(乳幼児6_110)"
treatment,140049370,６歳未満乳幼児加算（処置）（８３）,"And(乳幼児6_83)"
treatment,140057170,６歳未満乳幼児加算（処置）（５５）,"And(乳幼児6_55)"
treatment,140061990,耳鼻咽喉科乳幼児処置加算,"And(耳鼻咽喉科,乳幼児6)"
----
---- Bool変数 処置イ 時間外2, 休日2, 深夜2, 乳幼児3_110, 乳幼児3_55, 乳幼児6_110, 乳幼児6_83, 乳幼児6_55, 耳鼻咽喉科, 乳幼児6
----
