baseCharge,112000970,乳幼児加算（再診）,"And(再診,乳幼児6)"
baseCharge,112001110,時間外加算（再診）（入院外）,"And(再診,時間外)"
baseCharge,112001210,休日加算（再診）（入院外）,"And(再診,休日)"
baseCharge,112001310,深夜加算（再診）（入院外）,"And(再診,深夜)"
baseCharge,112001410,時間外特例医療機関加算（再診）（入院外）,"And(再診,時間外,時間外特例医療機関加算_体制)"
baseCharge,112011010,外来管理加算,"And(再診,外来管理)"
baseCharge,112014170,乳幼児夜間加算（小児科再診）（入院外）,"And(再診,乳幼児6,夜間,Or(小児科,小児外科))"
baseCharge,112014270,乳幼児休日加算（小児科再診）（入院外）,"And(再診,乳幼児6,休日,Or(小児科,小児外科))"
baseCharge,112014370,乳幼児深夜加算（小児科再診）（入院外）,"And(再診,乳幼児6,深夜,Or(小児科,小児外科))"
baseCharge,112014770,乳幼児時間外加算（再診）（入院外）,"And(再診,乳幼児6,時間外)"
baseCharge,112014870,乳幼児休日加算（再診）（入院外）,"And(再診,乳幼児6,休日)"
baseCharge,112014970,乳幼児深夜加算（再診）（入院外）,"And(再診,乳幼児6,深夜)"
baseCharge,112015070,乳幼児時間外特例医療機関加算（再診）（入院外）,"And(再診,乳幼児6,時間外,乳幼児時間外特例医療機関加算_体制)"
baseCharge,112015570,夜間・早朝等加算（再診）,"And(再診,夜早,夜間早朝等加算_体制)"
baseCharge,112015770,明細書発行体制等加算,"And(再診,明細書発行体制等加算_体制)"
baseCharge,112016070,時間外対応加算１,"And(再診,Or(時間外,休日,深夜),時間外対応加算1_届出)"
baseCharge,112017270,地域包括診療加算２,"And(再診,疾患2,地域包括診療加算2_届出)"
baseCharge,112017570,認知症地域包括診療加算２,"And(再診,疾患,認知症地域包括診療加算2_届出)"
baseCharge,112021770,地域包括診療加算１,"And(再診,疾患2,地域包括診療加算1_届出)"
baseCharge,112021870,認知症地域包括診療加算１,"And(再診,疾患,認知症地域包括診療加算1_届出)"
baseCharge,112021970,薬剤適正使用連携加算（再診）,"And(再診,疾患,薬剤適正使用連携加算_届出)"
baseCharge,112024370,外来感染対策向上加算（再診）,"And(再診,外来感染対策向上加算_届出)"
baseCharge,112024470,連携強化加算（再診）,"And(再診,連携強化加算_届出)"
baseCharge,112024570,サーベイランス強化加算（再診）,"And(再診,サーベイランス強化加算_届出)"
baseCharge,112708370,時間外対応加算２,"And(再診,Or(時間外,休日,深夜),時間外対応加算2_届出)"
baseCharge,112708470,時間外対応加算３,"And(再診,夜間,時間外対応加算3_届出)"
baseCharge,112708570,時間外対応加算４,"And(再診,夜間,時間外対応加算4_届出)"
baseCharge,112708670,発熱患者等対応加算（再診）,"And(再診,発熱患者等対応加算_届出)"
baseCharge,112708770,抗菌薬適正使用体制加算（再診）,"And(再診,抗菌薬適正使用体制加算_届出)"
baseCharge,112708970,医療情報取得加算（再診）,"And(再診,医療情報取得加算_体制)"
baseCharge,112709070,看護師等遠隔診療補助加算（再診）,"And(再診,看護師等遠隔診療補助加算_届出)"
